date,order_id,item,category,revenue
9/15/2025,109000,Caramel Macchiato,Drink,5.95
9/15/2025,109001,Matcha Latte,Drink,10.9
9/15/2025,109002,Cold Brew,Drink,4.75
9/15/2025,109003,Caffè Latte,Drink,5.25
9/15/2025,109004,Cold Brew,Drink,4.75
9/15/2025,109005,Blueberry Muffin,Food,3.45
9/15/2025,109006,Caffè Latte,Drink,5.25
9/15/2025,109007,Caramel Macchiato,Drink,5.95
9/15/2025,109008,Croissant,Food,3.25
9/15/2025,109009,Caramel Macchiato,Drink,11.9
9/15/2025,109010,Caramel Macchiato,Drink,5.95
9/15/2025,109011,Caffè Latte,Drink,10.5
9/15/2025,109012,Pumpkin Spice Latte,Seasonal,12.5
9/15/2025,109013,Croissant,Food,3.25
9/15/2025,109014,Blueberry Muffin,Food,3.45
9/15/2025,109015,Croissant,Food,3.25
9/15/2025,109016,Spinach Feta Wrap,Food,4.95
9/15/2025,109017,Caffè Latte,Drink,5.25
9/15/2025,109018,Croissant,Food,3.25
9/15/2025,109019,Pumpkin Spice Latte,Seasonal,6.25
9/15/2025,109020,Cold Brew,Drink,4.75
9/15/2025,109021,Spinach Feta Wrap,Food,4.95
9/15/2025,109022,Turkey Pesto Panini,Food,6.95
9/15/2025,109023,Cold Brew,Drink,4.75
9/15/2025,109024,Pumpkin Spice Latte,Seasonal,6.25
9/15/2025,109025,Turkey Pesto Panini,Food,13.9
9/15/2025,109026,Matcha Latte,Drink,5.45
9/15/2025,109027,Cold Brew,Drink,4.75
9/15/2025,109028,Caramel Macchiato,Drink,5.95
9/15/2025,109029,Spinach Feta Wrap,Food,4.95
9/15/2025,109030,Turkey Pesto Panini,Food,6.95
9/15/2025,109031,Spinach Feta Wrap,Food,4.95
9/15/2025,109032,Americano,Drink,7.9
9/15/2025,109033,Caffè Latte,Drink,10.5
9/15/2025,109034,Americano,Drink,3.95
9/15/2025,109035,Caramel Macchiato,Drink,5.95
9/15/2025,109036,Cold Brew,Drink,4.75
9/15/2025,109037,Americano,Drink,3.95
9/15/2025,109038,Croissant,Food,3.25
9/15/2025,109039,Caramel Macchiato,Drink,5.95
9/16/2025,109040,Caffè Latte,Drink,5.25
9/16/2025,109041,Caffè Latte,Drink,5.25
9/16/2025,109042,Caffè Latte,Drink,10.5
9/16/2025,109043,Turkey Pesto Panini,Food,6.95
9/16/2025,109044,Caffè Latte,Drink,10.5
9/16/2025,109045,Matcha Latte,Drink,5.45
9/16/2025,109046,Americano,Drink,3.95
9/16/2025,109047,Matcha Latte,Drink,5.45
